storeid,brand,name,lat,lon,postalCode,address,business_hour1,business_hour2,business_hour3
196,すき家,佐久店,36.2809456421081,138.470178936777,385-0021,長野県佐久市大字長土呂260-1,24時間営業,,
197,すき家,倉敷田ノ上店,34.5874605658208,133.757169438531,710-0831,岡山県倉敷市田ノ上939-1,24時間営業,,
198,すき家,つくば中央店,36.0726221545537,140.095883516106,305-0035,茨城県つくば市松代1-6-4,24時間営業,,
199,すき家,小山店,36.3126649843298,139.8194573643,323-0807,栃木県小山市城東6-8-14,24時間営業,,
200,すき家,101号つがる柏店,40.8060629123986,140.419962253218,038-3107,青森県つがる市柏稲盛字岡本89,24時間営業,,
201,すき家,富士宮店,35.2399234814273,138.619145056517,418-0003,静岡県富士宮市ひばりが丘1155,24時間営業,,
202,すき家,広大前店,34.4104907271653,132.71454195446,739-0047,広島県東広島市西条下見5-1-7,24時間営業,,
204,すき家,呉広店,34.2284462320841,132.630575088167,737-0131,広島県呉市広中町1-21,24時間営業,,
205,すき家,福岡西店,33.564193830867,130.317998010036,819-0041,福岡県福岡市西区拾六町1-25-8,24時間営業,,
207,すき家,宇都宮西店,36.5598488209113,139.851133629381,320-0851,栃木県宇都宮市鶴田町2-39-42,24時間営業,,
208,すき家,八戸北店,40.5201394620798,141.493103795632,031-0072,青森県八戸市城下4-14-14,24時間営業,,
209,すき家,2国姫路市川橋店,34.8282834468305,134.712962027269,670-0825,兵庫県姫路市市川橋通1-9,10:00～翌2:00,,
210,すき家,青森東店,40.8274102845696,140.78190482235,030-0961,青森県青森市浪打2-11-20,24時間営業,,
211,すき家,南武庫之荘店,34.7450641347397,135.38774898547,661-0033,兵庫県尼崎市南武庫之荘4-19-10,24時間営業,,
214,すき家,高島平駅前店,35.7897915172688,139.663321630076,175-0082,東京都板橋区高島平8-11-11　SDビル,24時間営業,,
215,すき家,富士厚原店,35.1848772337827,138.65591953713,419-0201,静岡県富士市厚原99-5,24時間営業,,
216,すき家,諏訪IC店,36.0182577003329,138.124445023368,392-0012,長野県諏訪市大字四賀字赤沼1818,24時間営業,,
217,すき家,日立金沢店（旧日立南店）,36.5399177532791,140.622127461248,316-0015,茨城県日立市金沢町1-13-10,24時間営業,,
218,すき家,難波元町店,34.6618094138483,135.498223088749,556-0011,大阪府大阪市浪速区難波中3-6-12　ナンバグランドビル,24時間営業,,
219,すき家,静岡流通通り店,35.0016502575784,138.406765332834,420-0803,静岡県静岡市葵区千代田7-9-25,24時間営業,,
220,すき家,蒲郡栄町店,34.8235846717503,137.219236322049,443-0035,愛知県蒲郡市栄町9-41,24時間営業,,
221,すき家,南船場店,34.6768376667432,135.506129517903,542-0081,大阪府大阪市中央区南船場2-2-10,24時間営業,,
222,すき家,新潟東店,37.9210238821295,139.0934030472,950-0872,新潟県新潟市東区牡丹山4-1-27,24時間営業,,
223,すき家,盛岡西店,39.6915293298405,141.134668384836,020-0866,岩手県盛岡市本宮3-5-10,24時間営業,,
224,すき家,広島祇園店,34.4460087528943,132.469149309719,731-0113,広島県広島市安佐南区西原5-6-5,24時間営業,,
225,すき家,春日井中央店,35.2514382397155,136.974226968588,486-0845,愛知県春日井市瑞穂通7-16-1,10:00～22:00,,
